"sep=	"
Shimmer_85E7_TimestampSync_Unix_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
ms	mV	
1.6378346200714631E12	8.274826996504505	
1.6378346200909941E12	8.342861732983001	
1.6378346201105254E12	8.315479554591127	
1.6378346201300564E12	8.299035823230247	
1.6378346201495876E12	8.255330116192116	
1.637834620169119E12	8.295622066134857	
1.63783462018865E12	8.2903331466913	
1.6378346202081812E12	8.395053751673748	
1.6378346202277122E12	8.287977173484624	
1.6378346202472434E12	8.278288834685743	
1.6378346202667744E12	8.296102876993363	
1.6378346202863057E12	8.300574417977463	
1.637834620305837E12	8.264994414448072	
1.637834620325368E12	8.250113318377334	
1.6378346203448992E12	8.293602660529135	
1.6378346203644302E12	8.280692888978269	
1.6378346203839614E12	8.40529502295991	
1.6378346204034927E12	8.495759585987678	
1.6378346204230237E12	8.407650996166586	
1.637834620442555E12	8.369690978887595	
1.637834620462086E12	8.48092657100279	
1.6378346204816172E12	8.535931333215792	
1.6378346205011484E12	8.580334215998755	
1.6378346205206794E12	8.51330918232312	
1.6378346205402107E12	8.500231126971777	
1.6378346205597417E12	8.525497737586228	
1.637834620579273E12	8.498355964623606	
1.637834620598804E12	8.48965328808466	
1.6378346206183352E12	8.479532219513125	
1.6378346206378665E12	8.532830103178433	
1.6378346206573975E12	8.39803477899648	
1.6378346206769287E12	8.609663678367577	
1.6378346206964597E12	8.496625045532987	
1.637834620715991E12	8.372455641324	
1.6378346207355222E12	8.522516710263496	
1.6378346207550532E12	8.508020262879562	
1.6378346207745845E12	8.511217655088622	
1.6378346207941155E12	8.491528450432831	
1.6378346208136467E12	8.453303987181663	
1.637834620833178E12	8.569275566253134	
1.637834620852709E12	8.50326023538036	
1.6378346208722402E12	8.447101527106945	
1.6378346208917712E12	8.489412882655408	
1.6378346209113025E12	8.488980152882753	
1.6378346209308335E12	8.507611573649832	
1.6378346209503647E12	8.414863159044165	
1.637834620969896E12	8.503572762438388	
1.637834620989427E12	8.403588144412216	
1.6378346210089583E12	8.488932071796903	
1.6378346210284893E12	8.410006969373262	
1.6378346210480205E12	8.369498654544193	
1.6378346210675518E12	8.399140643971043	
1.6378346210870828E12	8.336683313451209	
1.637834621106614E12	8.463088488152245	
1.637834621126145E12	8.416690240306485	
1.6378346211456763E12	8.492562193778618	
1.6378346211652075E12	8.528286440565559	
1.6378346211847385E12	8.408372212454344	
1.6378346212042698E12	8.431114566061645	
1.6378346212238008E12	8.417098929536214	
1.637834621243332E12	8.421257943462285	
1.637834621262863E12	8.515809398787347	
1.6378346212823943E12	8.378874466285046	
1.6378346213019255E12	8.365844492019553	
1.6378346213214565E12	8.439937445315216	
1.6378346213409878E12	8.419551064914591	
1.6378346213605188E12	8.353824220556922	
1.63783462138005E12	8.437605512651466	
1.6378346213995813E12	8.427580606251631	
1.6378346214191123E12	8.380965993519544	
1.6378346214386436E12	8.37108533037726	
1.6378346214581746E12	8.39478930570157	
1.6378346214777058E12	8.38981291331604	
1.637834621497237E12	8.40260248215228	
1.637834621516768E12	8.33399077264358	
1.6378346215362993E12	8.448640121854162	
1.6378346215558303E12	8.404958455358956	
1.6378346215753616E12	8.352550071781883	
1.6378346215948926E12	8.40164086043527	
1.6378346216144238E12	8.426883430506798	
1.637834621633955E12	8.41981551088677	
1.637834621653486E12	8.460179582458288	
1.6378346216730173E12	8.431330930947972	
1.6378346216925483E12	8.452678933065606	
1.6378346217120796E12	8.40620856359107	
1.6378346217316108E12	8.455635919845413	
1.6378346217511418E12	8.386230872420176	
1.637834621770673E12	8.462054744806458	
1.637834621790204E12	8.445923540503607	
1.6378346218097354E12	8.428518187425716	
1.6378346218292666E12	8.425272714130806	
1.6378346218487976E12	8.352045220380452	
1.6378346218683289E12	8.419791470343844	
1.6378346218878599E12	8.46950731311329	
1.637834621907391E12	8.426402619648293	
1.637834621926922E12	8.459097758026651	
1.6378346219464534E12	8.443783932183258	
1.6378346219659846E12	8.49422099124046	
1.6378346219855156E12	8.489052274511529	
1.6378346220050469E12	8.472416218807247	
1.637834622024578E12	8.435009134015537	
1.6378346220441091E12	8.449505581399471	
1.6378346220636404E12	8.489629247541735	
1.6378346220831714E12	8.464266474755583	
1.6378346221027026E12	8.440009566943992	
1.6378346221222336E12	8.47087762406003	
1.637834622141765E12	8.428373944168165	
1.6378346221612961E12	8.50924633056875	
1.6378346221808271E12	8.459169879655427	
1.6378346222003584E12	8.443255040238903	
1.6378346222198894E12	8.534224454668099	
1.6378346222394207E12	8.434600444785808	
1.6378346222589517E12	8.496721207704688	
1.637834622278483E12	8.484099922668925	
1.6378346222980142E12	8.476070381331887	
1.6378346223175452E12	8.500399410772253	
1.6378346223370764E12	8.443591607839856	
1.6378346223566074E12	8.50051961348688	
1.6378346223761387E12	8.46397798824048	
1.63783462239567E12	8.512660087664138	
1.637834622415201E12	8.479315854626797	
1.6378346224347322E12	8.574997215469347	
1.6378346224542632E12	8.507996222336637	
1.6378346224737944E12	8.519463561311987	
1.6378346224933257E12	8.532806062635508	
1.6378346225128567E12	8.499125261997214	
1.637834622532388E12	8.500543654029805	
1.637834622551919E12	8.492273707263514	
1.6378346225714502E12	8.473642286496435	
1.6378346225909812E12	8.356324437021149	
1.6378346226105125E12	8.468473569767504	
1.6378346226300437E12	8.462367271864487	
1.6378346226495747E12	8.396520224792189	
1.637834622669106E12	8.513838074267476	
1.637834622688637E12	8.528358562194335	
1.6378346227081682E12	8.546364928845357	
1.6378346227276995E12	8.57802632387793	
