"sep=	"
Shimmer_85E7_Timestamp_Shimmer_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
Ticks	mV	
495387.14599609375	-1.0216269121520016	
495406.67724609375	-1.0397294409747253	
495426.20849609375	-1.1932523480954584	
495445.73974609375	-0.9910233010081412	
495465.27099609375	-1.118870908284693	
495484.80224609375	-1.177770238451589	
495504.33349609375	-1.0218673175812545	
495523.86474609375	-1.0613418890645372	
495543.39599609375	-1.0989412981996494	
495562.92724609375	-1.1568549661066094	
495582.45849609375	-0.8236530411624561	
495601.98974609375	-1.120505665203611	
495621.52099609375	-1.0899260946026756	
495641.05224609375	-1.007226626939769	
495660.58349609375	-1.014534951989049	
495680.11474609375	-1.0803098774325701	
495699.64599609375	-1.1688271564833908	
495719.17724609375	-1.0017934642386592	
495738.70849609375	-1.1563741552481042	
495758.23974609375	-1.052206482752937	
495777.77099609375	-1.0214105472656743	
495797.30224609375	-1.186448874447609	
495816.83349609375	-1.1556048578744957	
495836.36474609375	-1.033695264700484	
495855.89599609375	-1.0901905405748535	
495875.42724609375	-1.0703330521185859	
495894.95849609375	-1.175798913931717	
495914.48974609375	-1.2162110665890853	
495934.02099609375	-1.077184606852286	
495953.55224609375	-1.2054409033585671	
495973.08349609375	-1.03924863011622	
495992.61474609375	-1.1493062356280768	
496012.14599609375	-1.144137518899145	
496031.67724609375	-1.1512775601479484	
496051.20849609375	-1.113774313184537	
496070.73974609375	-1.0601639024611993	
496090.27099609375	-1.0735064037847206	
496109.80224609375	-1.110576920975477	
496129.33349609375	-1.0154004115343584	
496148.86474609375	-1.1162504891058393	
496168.39599609375	-1.075549849933368	
496187.92724609375	-1.1191593947997962	
496207.45849609375	-1.1326942204667196	
496226.98974609375	-1.0247762232752113	
496246.52099609375	-1.18745857725047	
496266.05224609375	-1.0544182127020614	
496285.58349609375	-1.1204575841177604	
496305.11474609375	-1.1372138425366691	
496324.64599609375	-1.1373580857942207	
496344.17724609375	-1.1308911797473247	
496363.70849609375	-1.134280896299787	
496383.23974609375	-1.1095191370867654	
496402.77099609375	-1.0712706332926711	
496422.30224609375	-0.9823206244691958	
496441.83349609375	-0.9567895678825659	
496461.36474609375	-0.9904944090637854	
496480.89599609375	-1.1145195700152202	
496500.42724609375	-1.1849343202433174	
496519.95849609375	-1.207893038736944	
496539.48974609375	-1.0714148765502227	
496559.02099609375	-1.2184227965382095	
496578.55224609375	-0.9262099972816306	
496598.08349609375	-1.4904896208234177	
496617.61474609375	-1.3418229033735876	
496637.14599609375	-1.3538191342932941	
496656.67724609375	-1.2876355196200435	
496676.20849609375	-1.4791905656485438	
496695.73974609375	-1.1875306988792458	
496715.27099609375	-1.0141983843880953	
496734.80224609375	-1.1372138425366691	
496754.33349609375	-1.229673770627233	
496773.86474609375	-1.3769942176732481	
496793.39599609375	-1.435701223496742	
496812.92724609375	-1.346246363271836	
496832.45849609375	-1.4161562620985026	
496851.98974609375	-1.4490677653631885	
496871.52099609375	-1.3626179730039405	
496891.05224609375	-1.3484580932209602	
496910.58349609375	-1.2983335612217857	
496930.11474609375	-1.299727912711451	
496949.64599609375	-1.3733400551486081	
496969.17724609375	-1.3869470024443074	
496988.70849609375	-1.352617107147031	
497008.23974609375	-1.3890625702217305	
497027.77099609375	-1.3159312386430786	
497047.30224609375	-1.4809936063679385	
497066.83349609375	-1.3455732280699286	
497086.36474609375	-1.357906026590589	
497105.89599609375	-1.33201436186008	
497125.42724609375	-1.313599305979328	
497144.95849609375	-1.2177737018792274	
497164.48974609375	-1.2857363167289475	
497184.02099609375	-1.2175573369929	
497203.55224609375	-1.3086469541367238	
497223.08349609375	-1.2062342412751008	
497242.61474609375	-1.3038628860945964	
497262.14599609375	-1.3525690260611805	
497281.67724609375	-1.3935581517487547	
497301.20849609375	-1.1971709565922766	
497320.73974609375	-1.3321345645747062	
497340.27099609375	-1.2488821644245185	
497359.80224609375	-1.2245290944412264	
497379.33349609375	-1.35480479655323	
497398.86474609375	-1.3261484693863157	
497418.39599609375	-1.323263604235284	
497437.92724609375	-1.3622333243171363	
497457.45849609375	-1.3579541076764394	
497476.98974609375	-1.3743497579514692	
497496.52099609375	-1.3752873391255545	
497516.05224609375	-1.3511265934856647	
497535.58349609375	-1.3487706202789886	
497555.11474609375	-1.2958573853004836	
497574.64599609375	-1.2674655041057472	
497594.17724609375	-1.3003289262845825	
497613.70849609375	-1.2226298915501306	
497633.23974609375	-1.2279188109936887	
497652.77099609375	-1.295256371727352	
497672.30224609375	-1.2754469643569348	
497691.83349609375	-1.2258272837591908	
497711.36474609375	-1.3443952414665907	
497730.89599609375	-1.2460694209022627	
497750.42724609375	-1.2810484108585212	
497769.95849609375	-1.211715485062061	
497789.48974609375	-1.2852074247845917	
497809.02099609375	-1.3126376842623175	
497828.55224609375	-1.2403958527719006	
497848.08349609375	-1.1981566188522124	
497867.61474609375	-1.246646393932469	
497887.14599609375	-1.2255868783299382	
497906.67724609375	-1.2639555848386588	
497926.20849609375	-1.1832755227814742	
497945.73974609375	-1.3499245663394015	
497965.27099609375	-1.1657018859031065	
497984.80224609375	-1.3169169009030144	
498004.33349609375	-1.2507332862297638	
498023.86474609375	-1.3605264457694426	
498043.39599609375	-1.2324624736065635	
498062.92724609375	-1.3151138601836196	
498082.45849609375	-1.4240175196350637	
498101.98974609375	-1.163826723554936	
498121.52099609375	-1.5180400830157696	
498141.05224609375	-1.1586820473689294	
498160.58349609375	-1.431422006856045	
498180.11474609375	-1.4925330669720651	
498199.64599609375	-1.4353165748099377	
498219.17724609375	-1.445461683924399	
498238.70849609375	-1.4501495897948253	
498258.23974609375	-1.2847025733831612	
498277.77099609375	-1.4656797805245456	
498297.30224609375	-1.4625545099442614	
498316.83349609375	-1.3660076895564028	
498336.36474609375	-1.486787377212927	
498355.89599609375	-1.2995355883680488	
498375.42724609375	-1.4724351730865446	
498394.95849609375	-1.4157716134116984	
498414.48974609375	-1.4440432918918085	
498434.02099609375	-1.413535842919649	
498453.55224609375	-1.4792626872773196	
498473.08349609375	-1.4534671847185117	
498492.61474609375	-1.4643335101207309	
498512.14599609375	-1.493061958916421	
498531.67724609375	-1.4744305381493417	
498551.20849609375	-1.372234190174046	
498570.73974609375	-1.536503219982372	
498590.27099609375	-1.437528304759062	
498609.80224609375	-1.4769067140706438	
498629.33349609375	-1.448106143646178	
498648.86474609375	-1.3764172446430418	
498668.39599609375	-1.501572311111964	
498687.92724609375	-1.4726274974299467	
498707.45849609375	-1.4470002786716158	
498726.98974609375	-1.4421681295436377	
498746.52099609375	-1.4384658859331472	
498766.05224609375	-1.4956102564664988	
498785.58349609375	-1.468829091647755	
498805.11474609375	-1.5064285007828675	
498824.64599609375	-1.4452453190380716	
498844.17724609375	-1.4960670267820788	
498863.70849609375	-1.493975499547581	
498883.23974609375	-1.4256282360110564	
498902.77099609375	-1.4410622645690756	
498922.30224609375	-1.5065487034974938	
498941.83349609375	-1.4714975919124593	
498961.36474609375	-1.4497889816509464	
498980.89599609375	-1.479214606191469	
499000.42724609375	-1.4961872294967051	
499019.95849609375	-1.4787097547900385	
499039.48974609375	-1.4570011445285254	
499059.02099609375	-1.5015482705690388	
499078.55224609375	-1.4921964993711114	
499098.08349609375	-1.4627227937447382	
499117.61474609375	-1.4758970112677827	
499137.14599609375	-1.4904415397375672	
499156.67724609375	-1.4644537128353572	
499176.20849609375	-1.4841188769482228	
499195.73974609375	-1.4167572756716342	
499215.27099609375	-1.4342347503783008	
499234.80224609375	-1.370046500767847	
499254.33349609375	-1.4720505243997404	
499273.86474609375	-1.4330086826891124	
499293.39599609375	-1.4090402613926245	
499312.92724609375	-1.4316383717423724	
499332.45849609375	-1.3323268889181084	
499351.98974609375	-1.444812589265417	
499371.52099609375	-1.379254028708223	
499391.05224609375	-1.3738208660071134	
499410.58349609375	-1.4162524242702037	
499430.11474609375	-1.4150503971239405	
499449.64599609375	-1.4014674903711666	
499469.17724609375	-1.3679790140762744	
499488.70849609375	-1.3741333930651418	
499508.23974609375	-1.4419036835714598	
499527.77099609375	-1.3765855284435187	
499547.30224609375	-1.3935581517487547	
499566.83349609375	-1.3622573648600615	
499586.36474609375	-1.3913223812567053	
499605.89599609375	-1.3711764062853344	
499625.42724609375	-1.3029253049205112	
499644.95849609375	-1.4150744376668658	
499664.48974609375	-1.351703566515871	
499684.02099609375	-1.3537950937503689	
499703.55224609375	-1.3449241334109465	
499723.08349609375	-1.3552856074117352	
499742.61474609375	-1.3530257963767605	
499762.14599609375	-1.4216855869713132	
499781.67724609375	-1.3190805497662883	
499801.20849609375	-1.3424719980325697	
499820.73974609375	-1.3483619310492592	
499840.27099609375	-1.3274947397901304	
499859.80224609375	-1.412357856316311	
499879.33349609375	-1.3069400755890301	
499898.86474609375	-1.371416811714587	
499918.39599609375	-1.3292256588807494	
499937.92724609375	-1.3587474455929731	
499957.45849609375	-1.305377440298888	
499976.98974609375	-1.3001125613982552	
499996.52099609375	-1.396851706129516	
500016.05224609375	-1.3652143516398692	
500035.58349609375	-1.289150073824335	
500055.11474609375	-1.349972647425252	
500074.64599609375	-1.3749988526104513	
500094.17724609375	-1.2732592749507359	
500113.70849609375	-1.3843265832654537	
500133.23974609375	-1.2215240265755685	
500152.77099609375	-1.468540605132652	
500172.30224609375	-1.373051568633505	
500191.83349609375	-1.4059630718981908	
500211.36474609375	-1.2449875964706258	
500230.89599609375	-1.2425835421780995	
500250.42724609375	-1.4349559666660587	
500269.95849609375	-1.3044158185818775	
500289.48974609375	-1.3498524447106257	
500309.02099609375	-1.3950246248671958	
500328.55224609375	-1.3842063805508273	
500348.08349609375	-1.1937812400398145	
500367.61474609375	-1.311219292229727	
500387.14599609375	-1.4627227937447382	
500406.67724609375	-1.2577290842210156	
500426.20849609375	-1.173971832669397	
500445.73974609375	-1.3070843188465817	
500465.27099609375	-1.2976123449340278	
500484.80224609375	-1.260589908829122	
500504.33349609375	-1.228135175880016	
500523.86474609375	-1.3646614191525879	
500543.39599609375	-1.101994447151158	
500562.92724609375	-1.4779164168735048	
500582.45849609375	-1.111033691291057	
500601.98974609375	-1.3398756193966412	
500621.52099609375	-1.3058582511573933	
500641.05224609375	-1.0861757699063346	
500660.58349609375	-1.5135204609458202	
500680.11474609375	-1.2536181513807954	
500699.64599609375	-1.4283688579045366	
500719.17724609375	-1.3409093627424276	
500738.70849609375	-1.2602052601423177	
500758.23974609375	-1.3632670676629226	
500777.77099609375	-1.3687242709069576	
500797.30224609375	-1.2421027313195943	
500816.83349609375	-1.3132867789212996	
500836.36474609375	-1.3737247038354123	
500855.89599609375	-1.322806833919704	
500875.42724609375	-1.3415103763155591	
500894.95849609375	-1.2768413158466	
500914.48974609375	-1.365743243584225	
500934.02099609375	-1.3495399176525973	
500953.55224609375	-1.3003289262845825	
500973.08349609375	-1.2795578971971548	
500992.61474609375	-1.25542119210019	
501012.14599609375	-1.3218211716597683	
501031.67724609375	-1.327086050560401	
501051.20849609375	-1.4259407630690848	
501070.73974609375	-1.1209383949762657	
501090.27099609375	-1.3655990003266734	
501109.80224609375	-1.2853757085850686	
501129.33349609375	-1.0784347150843996	
501148.86474609375	-1.47611337615411	
501168.39599609375	-1.2339289467250045	
501187.92724609375	-1.232702879035816	
501207.45849609375	-1.2910733172583562	
501226.98974609375	-1.3990874766215655	
501246.52099609375	-1.2301786220286635	
501266.05224609375	-1.3507179042559352	
501285.58349609375	-1.12680428745003	
501305.11474609375	-1.412622302288489	
501324.64599609375	-1.2811686135731475	
501344.17724609375	-1.329562226481703	
501363.70849609375	-1.5279928677868289	
501383.23974609375	-1.3132627383783744	
501402.77099609375	-1.264340233525463	
501422.30224609375	-1.3053293592130375	
501441.83349609375	-1.4278880470460313	
501461.36474609375	-1.2914579659451604	
501480.89599609375	-1.3044879402106533	
501500.42724609375	-1.2785481943942938	
501519.95849609375	-1.2845342895826843	
501539.48974609375	-1.3064833052734501	
501559.02099609375	-1.2989345747949173	
501578.55224609375	-1.255685638072368	
501598.08349609375	-1.2750863562130559	
501617.61474609375	-1.2130136743800253	
501637.14599609375	-1.2343857170405845	
501656.67724609375	-1.2197209858561737	
501676.20849609375	-1.2541951244110017	
501695.73974609375	-1.255325029928489	
501715.27099609375	-1.1687309943116897	
501734.80224609375	-1.1751738598156602	
501754.33349609375	-1.2344578386693603	
501773.86474609375	-1.2312844870032256	
501793.39599609375	-1.2161149044173842	
501812.92724609375	-1.1146157321869212	
501832.45849609375	-1.2661432742448577	
501851.98974609375	-1.2511419754594932	
501871.52099609375	-1.2193122966264442	
501891.05224609375	-1.1054803258753212	
501910.58349609375	-1.2883567359078014	
501930.11474609375	-1.2560702867591724	
501949.64599609375	-1.1920022398633447	
501969.17724609375	-1.1726496028085076	
501988.70849609375	-1.2509736916590164	
502008.23974609375	-1.2320778249197593	
